site,pass,pass.int,location,site.index,propPO,habitat,date2,species,SVLmean,tail,mass,tail_loss,bcres,loc.int,site.int
A,1,1,dominant,2,0.09,CO,1_5,RB,28.7,24.3,0.36,Y,-0.197245673,2,1
A,1,1,dominant,2,0.09,CO,1_5,RB,42.9,34.3,1.35,Y,0.178066506,2,1
A,1,1,dominant,2,0.09,CO,1_5,RB,43.3,37,1.26,Y,0.039768709,2,1
A,1,1,dominant,2,0.09,CO,1_5,RB,39.6,41,1.32,Y,0.175304483,2,1
A,1,1,even,3,0.41,CO,1_4,RB,26.8,29.2,0.64,N,0.103673373,3,1
A,1,1,even,3,0.41,CO,1_4,RB,37.9,37.1,1.02,N,0.00211333,3,1
A,1,1,even,3,0.41,LL,1_4,RB,36.2,39,0.82,N,-0.163977447,3,1
A,1,1,even,3,0.41,LL,1_4,RB,36.4,41,0.92,N,-0.096453946,3,1
A,1,1,even,3,0.41,CO,1_4,RB,38.7,41.6,1.27,N,0.167048261,3,1
A,1,1,even,3,0.41,CO,1_4,RB,39.5,43.2,1.41,N,0.259137106,3,1
A,1,1,even,3,0.41,LL,1_4,RB,38.6,44.7,1.4,N,0.260758564,3,1
A,1,1,even,3,0.41,CO,1_4,RB,40.6,44.9,1.45,N,0.239665115,3,1
A,1,1,even,3,0.41,CO,1_4,RB,44.6,54.2,1.81,N,0.343454138,3,1
A,1,1,even,3,0.41,LL,1_4,RB,29.2,19.9,0.43,Y,-0.088006994,3,1
A,1,1,even,3,0.41,CO,1_4,RB,37,26.3,1.21,Y,0.342726835,3,1
A,1,1,even,3,0.41,CO,1_4,RB,34.5,29.7,1.17,Y,0.34483096,3,1
A,1,1,even,3,0.41,CO,1_4,RB,33.1,31,1.1,Y,0.306147534,3,1
A,1,1,even,3,0.41,CO,1_4,RB,37.3,32,1.09,Y,0.139420509,3,1
A,1,1,even,3,0.41,CO,1_4,RB,40.6,33.2,1.43,Y,0.350970146,3,1
A,1,1,even,3,0.41,CO,1_4,RB,35.5,33.9,1.02,Y,0.106756288,3,1
